N	d_sq	d_sq*ln(N)	bt_v	vt_Gv	S1	S2	S3	M(N)	f_N(0.5)
18897	3.0991788562e-2	0.305169	0.83985431	0.71070042	0.001467	-0.985434	-1.009777	28	0.867306
18898	3.0991514814e-2	0.305168	0.83985509	0.71070170	0.001414	-0.985955	-1.014908	27	0.867307
18899	3.0991239389e-2	0.305167	0.83985588	0.71070299	0.001361	-0.986476	-1.020038	26	0.867308
18900	3.0990962286e-2	0.305165	0.83985666	0.71070428	0.001361	-0.986476	-1.020038	26	0.867308
18901	3.0990685206e-2	0.305164	0.83985745	0.71070558	0.001414	-0.985955	-1.014908	27	0.867309
18902	3.0990409847e-2	0.305163	0.83985823	0.71070687	0.001361	-0.986476	-1.020038	26	0.867310
18903	3.0990132811e-2	0.305162	0.83985901	0.71070816	0.001414	-0.985955	-1.014909	27	0.867311
18904	3.0989857497e-2	0.305161	0.83985979	0.71070945	0.001414	-0.985955	-1.014909	27	0.867311
18905	3.0989582205e-2	0.305160	0.83986058	0.71071073	0.001361	-0.986476	-1.020038	26	0.867312
18906	3.0989305236e-2	0.305159	0.83986136	0.71071203	0.001414	-0.985955	-1.014909	27	0.867313
18907	3.0989029988e-2	0.305158	0.83986214	0.71071331	0.001361	-0.986476	-1.020038	26	0.867313
18908	3.0988753064e-2	0.305157	0.83986293	0.71071461	0.001361	-0.986476	-1.020038	26	0.867314
18909	3.0988476162e-2	0.305156	0.83986371	0.71071590	0.001361	-0.986476	-1.020038	26	0.867315
18910	3.0988199282e-2	0.305155	0.83986450	0.71071719	0.001414	-0.985955	-1.014909	27	0.867315
18911	3.0987924122e-2	0.305154	0.83986528	0.71071848	0.001361	-0.986476	-1.020037	26	0.867316
18912	3.0987647287e-2	0.305152	0.83986606	0.71071977	0.001361	-0.986476	-1.020037	26	0.867317
18913	3.0987370474e-2	0.305151	0.83986685	0.71072106	0.001308	-0.986997	-1.025165	25	0.867318
18914	3.0987091985e-2	0.305150	0.83986763	0.71072236	0.001308	-0.986997	-1.025165	25	0.867318
18915	3.0986813518e-2	0.305149	0.83986842	0.71072365	0.001361	-0.986476	-1.020038	26	0.867319
18916	3.0986536771e-2	0.305148	0.83986920	0.71072494	0.001361	-0.986476	-1.020038	26	0.867320
18917	3.0986260046e-2	0.305147	0.83986999	0.71072624	0.001308	-0.986997	-1.025164	25	0.867320
18918	3.0985981646e-2	0.305146	0.83987077	0.71072753	0.001308	-0.986997	-1.025164	25	0.867321
18919	3.0985703268e-2	0.305145	0.83987156	0.71072883	0.001255	-0.987517	-1.030290	24	0.867322
18920	3.0985423215e-2	0.305144	0.83987235	0.71073013	0.001255	-0.987517	-1.030290	24	0.867322
18921	3.0985143184e-2	0.305143	0.83987314	0.71073142	0.001308	-0.986997	-1.025165	25	0.867323
18922	3.0984864872e-2	0.305141	0.83987393	0.71073272	0.001361	-0.986476	-1.020039	26	0.867324
18923	3.0984588279e-2	0.305140	0.83987471	0.71073401	0.001414	-0.985956	-1.014914	27	0.867325
18924	3.0984313405e-2	0.305139	0.83987549	0.71073530	0.001414	-0.985956	-1.014914	27	0.867325
18925	3.0984038553e-2	0.305138	0.83987627	0.71073658	0.001414	-0.985956	-1.014914	27	0.867326
18926	3.0983763723e-2	0.305137	0.83987705	0.71073787	0.001466	-0.985435	-1.009789	28	0.867327
18927	3.0983490612e-2	0.305136	0.83987783	0.71073915	0.001466	-0.985435	-1.009789	28	0.867327
18928	3.0983217523e-2	0.305135	0.83987861	0.71074044	0.001466	-0.985435	-1.009789	28	0.867328
18929	3.0982944456e-2	0.305134	0.83987939	0.71074172	0.001519	-0.984915	-1.004665	29	0.867329
18930	3.0982673107e-2	0.305133	0.83988016	0.71074300	0.001572	-0.984395	-0.999542	30	0.867329
18931	3.0982403477e-2	0.305132	0.83988093	0.71074427	0.001625	-0.983875	-0.994418	31	0.867330
