j	k	gcd	formula	integral	error	digits	certified	time_ms
6	15	3	9.435730026379352e-2	9.435725720834004e-2	4.30555e-8	7	true	14505.4
6	16	2	9.020645466685216e-2	9.020641242158017e-2	4.22453e-8	7	true	15784.8
6	17	1	8.725666937286533e-2	8.725662757013256e-2	4.18027e-8	7	true	17227.8
6	18	6	8.657465231777139e-2	8.657460602159547e-2	4.62962e-8	7	true	14126.3
6	19	1	8.118611512916352e-2	8.118607334075056e-2	4.17884e-8	7	true	17271.6
6	20	2	7.795476642683234e-2	7.795472429729114e-2	4.21295e-8	7	true	16415.3
6	21	3	7.549060233444356e-2	7.549055967582105e-2	4.26586e-8	7	true	16126.7
6	22	2	7.298515663449366e-2	7.298511454705553e-2	4.20874e-8	7	true	16801.8
6	23	1	7.109511604153718e-2	7.109507427432889e-2	4.17672e-8	7	true	16461.8
6	24	6	7.045597745085322e-2	7.045593231204766e-2	4.51388e-8	7	true	14593.7
6	25	1	6.715558670863708e-2	6.715554494946037e-2	4.17592e-8	7	true	16043.9
6	26	2	6.506134554284637e-2	6.506130352014552e-2	4.20227e-8	7	true	14560.5
6	27	3	6.340622484032662e-2	6.340618240214338e-2	4.24382e-8	7	true	14536.9
