a	b	M	integral	formula	error	error_abs	error_times_aM	time_ms
4	5	50000	1.97374567300566128e-1	1.97375838124524638e-1	-1.27082395851019214e-6	1.27082395851019214e-6	2.54164791702038428e-1	1000.1
4	7	10	1.57558999423272839e-1	1.63712694770432682e-1	-6.15369534715984323e-3	6.15369534715984323e-3	2.46147813886393729e-1	0.2
4	7	20	1.60526898733209494e-1	1.63712694770432682e-1	-3.18579603722318749e-3	3.18579603722318749e-3	2.54863682977854999e-1	0.3
4	7	50	1.62452929740995400e-1	1.63712694770432682e-1	-1.25976502943728197e-3	1.25976502943728197e-3	2.51953005887456394e-1	0.9
4	7	100	1.63081678010129294e-1	1.63712694770432682e-1	-6.31016760303387825e-4	6.31016760303387825e-4	2.52406704121355130e-1	1.8
4	7	200	1.63396384366110037e-1	1.63712694770432682e-1	-3.16310404322645011e-4	3.16310404322645011e-4	2.53048323458116009e-1	3.3
4	7	500	1.63586272242213532e-1	1.63712694770432682e-1	-1.26422528219150010e-4	1.26422528219150010e-4	2.52845056438300020e-1	8.6
4	7	1000	1.63649441416208519e-1	1.63712694770432682e-1	-6.32533542241631164e-5	6.32533542241631164e-5	2.53013416896652465e-1	17.6
4	7	2000	1.63681076838827128e-1	1.63712694770432682e-1	-3.16179316055542614e-5	3.16179316055542614e-5	2.52943452844434091e-1	35.5
4	7	5000	1.63700046526470328e-1	1.63712694770432682e-1	-1.26482439623543108e-5	1.26482439623543108e-5	2.52964879247086216e-1	88.9
4	7	10000	1.63706370328490974e-1	1.63712694770432682e-1	-6.32444194170744822e-6	6.32444194170744822e-6	2.52977677668297929e-1	176.9
4	7	20000	1.63709532600602503e-1	1.63712694770432682e-1	-3.16216983017869602e-6	3.16216983017869602e-6	2.52973586414295681e-1	354.7
4	7	50000	1.63711429885760040e-1	1.63712694770432682e-1	-1.26488467264151971e-6	1.26488467264151971e-6	2.52976934528303943e-1	891.2
4	9	10	1.36091620522688667e-1	1.42342247070368966e-1	-6.25062654768029913e-3	6.25062654768029913e-3	2.50025061907211965e-1	0.2
4	9	20	1.39279574413572832e-1	1.42342247070368966e-1	-3.06267265679613376e-3	3.06267265679613376e-3	2.45013812543690701e-1	0.3
4	9	50	1.41080284096239850e-1	1.42342247070368966e-1	-1.26196297412911607e-3	1.26196297412911607e-3	2.52392594825823213e-1	0.8
4	9	100	1.41712222244994329e-1	1.42342247070368966e-1	-6.30024825374636555e-4	6.30024825374636555e-4	2.52009930149854622e-1	1.6
4	9	200	1.42027785357287301e-1	1.42342247070368966e-1	-3.14461713081665151e-4	3.14461713081665151e-4	2.51569370465332121e-1	3.3
4	9	500	1.42216083020145906e-1	1.42342247070368966e-1	-1.26164050223059876e-4	1.26164050223059876e-4	2.52328100446119752e-1	8.1
4	9	1000	1.42279176160852866e-1	1.42342247070368966e-1	-6.30709095160997268e-5	6.30709095160997268e-5	2.52283638064398907e-1	16.8
4	9	2000	1.42310717048839935e-1	1.42342247070368966e-1	-3.15300215290303942e-5	3.15300215290303942e-5	2.52240172232243154e-1	33.8
4	9	5000	1.42329631260484785e-1	1.42342247070368966e-1	-1.26158098841810951e-5	1.26158098841810951e-5	2.52316197683621901e-1	83.5
4	9	10000	1.42335939278105339e-1	1.42342247070368966e-1	-6.30779226362676582e-6	6.30779226362676582e-6	2.52311690545070633e-1	167.6
4	9	20000	1.42339093228498470e-1	1.42342247070368966e-1	-3.15384187049572162e-6	3.15384187049572162e-6	2.52307349639657730e-1	335.8
4	9	50000	1.42340985495600730e-1	1.42342247070368966e-1	-1.26157476823540726e-6	1.26157476823540726e-6	2.52314953647081452e-1	889.5
5	6	10	1.65759196484747434e-1	1.70855453455258183e-1	-5.09625697051074855e-3	5.09625697051074855e-3	2.54812848525537428e-1	0.2
5	6	20	1.68367651288815062e-1	1.70855453455258183e-1	-2.48780216644312047e-3	2.48780216644312047e-3	2.48780216644312047e-1	0.4
5	6	50	1.69850673679078357e-1	1.70855453455258183e-1	-1.00477977617982606e-3	1.00477977617982606e-3	2.51194944044956514e-1	1.0
5	6	100	1.70349344382638213e-1	1.70855453455258183e-1	-5.06109072619970179e-4	5.06109072619970179e-4	2.53054536309985090e-1	2.1
5	6	200	1.70603068451973428e-1	1.70855453455258183e-1	-2.52385003284755216e-4	2.52385003284755216e-4	2.52385003284755216e-1	4.1
5	6	500	1.70754405082923250e-1	1.70855453455258183e-1	-1.01048372334933134e-4	1.01048372334933134e-4	2.52620930837332835e-1	9.9
5	6	1000	1.70804892245754042e-1	1.70855453455258183e-1	-5.05612095041407805e-5	5.05612095041407805e-5	2.52806047520703903e-1	20.5
5	6	2000	1.70830179595283127e-1	1.70855453455258183e-1	-2.52738599750557125e-5	2.52738599750557125e-5	2.52738599750557125e-1	41.0
5	6	5000	1.70845342970886577e-1	1.70855453455258183e-1	-1.01104843716059989e-5	1.01104843716059989e-5	2.52762109290149972e-1	102.5
5	6	10000	1.70850397843048646e-1	1.70855453455258183e-1	-5.05561220953687496e-6	5.05561220953687496e-6	2.52780610476843748e-1	205.1
5	6	20000	1.70852925716648202e-1	1.70855453455258183e-1	-2.52773860998090072e-6	2.52773860998090072e-6	2.52773860998090072e-1	407.6
5	6	50000	1.70854442350413804e-1	1.70855453455258183e-1	-1.01110484437838544e-6	1.01110484437838544e-6	2.52776211094596359e-1	1012.5
5	7	10	1.49037501221975704e-1	1.54022856010670395e-1	-4.98535478869469029e-3	4.98535478869469029e-3	2.49267739434734514e-1	0.2
5	7	20	1.51485148166743744e-1	1.54022856010670395e-1	-2.53770784392665094e-3	2.53770784392665094e-3	2.53770784392665094e-1	0.4
5	7	50	1.53020150299674473e-1	1.54022856010670395e-1	-1.00270571099592143e-3	1.00270571099592143e-3	2.50676427748980357e-1	0.9
5	7	100	1.53518273123243287e-1	1.54022856010670395e-1	-5.04582887427107440e-4	5.04582887427107440e-4	2.52291443713553720e-1	1.8
5	7	200	1.53770903687188237e-1	1.54022856010670395e-1	-2.51952323482157459e-4	2.51952323482157459e-4	2.51952323482157459e-1	3.9
5	7	500	1.53921926536133014e-1	1.54022856010670395e-1	-1.00929474537381214e-4	1.00929474537381214e-4	2.52323686343453035e-1	9.6
5	7	1000	1.53972374107386484e-1	1.54022856010670395e-1	-5.04819032839110005e-5	5.04819032839110005e-5	2.52409516419555002e-1	18.9
5	7	2000	1.53997618916119072e-1	1.54022856010670395e-1	-2.52370945513225031e-5	2.52370945513225031e-5	2.52370945513225031e-1	37.8
5	7	5000	1.54012760841208712e-1	1.54022856010670395e-1	-1.00951694616824295e-5	1.00951694616824295e-5	2.52379236542060736e-1	96.6
5	7	10000	1.54017808563051806e-1	1.54022856010670395e-1	-5.04744761858910707e-6	5.04744761858910707e-6	2.52372380929455353e-1	191.9
5	7	20000	1.54020332244003189e-1	1.54022856010670395e-1	-2.52376666720621756e-6	2.52376666720621756e-6	2.52376666720621756e-1	388.6
5	7	50000	1.54021846484575176e-1	1.54022856010670395e-1	-1.00952609521920422e-6	1.00952609521920422e-6	2.52381523804801056e-1	956.8
5	8	10	1.37802850026089080e-1	1.42811874746671619e-1	-5.00902472058253889e-3	5.00902472058253889e-3	2.50451236029126945e-1	0.2
5	8	20	1.40296153803607049e-1	1.42811874746671619e-1	-2.51572094306456995e-3	2.51572094306456995e-3	2.51572094306456995e-1	0.4
5	8	50	1.41804671620416128e-1	1.42811874746671619e-1	-1.00720312625549036e-3	1.00720312625549036e-3	2.51800781563872589e-1	0.9
5	8	100	1.42307882575811590e-1	1.42811874746671619e-1	-5.03992170860029232e-4	5.03992170860029232e-4	2.51996085430014616e-1	1.8
5	8	200	1.42560330622667153e-1	1.42811874746671619e-1	-2.51544124004465797e-4	2.51544124004465797e-4	2.51544124004465797e-1	3.7
5	8	500	1.42711048142625280e-1	1.42811874746671619e-1	-1.00826604046339030e-4	1.00826604046339030e-4	2.52066510115847575e-1	8.7
5	8	1000	1.42761479727024798e-1	1.42811874746671619e-1	-5.03950196468205824e-5	5.03950196468205824e-5	2.51975098234102912e-1	18.0
5	8	2000	1.42786671827549339e-1	1.42811874746671619e-1	-2.52029191222802318e-5	2.52029191222802318e-5	2.52029191222802318e-1	37.0
5	8	5000	1.42801792279847795e-1	1.42811874746671619e-1	-1.00824668238241877e-5	1.00824668238241877e-5	2.52061670595604692e-1	93.3
5	8	10000	1.42806833296651975e-1	1.42811874746671619e-1	-5.04145001964384498e-6	5.04145001964384498e-6	2.52072500982192249e-1	184.6
5	8	20000	1.42809353967502495e-1	1.42811874746671619e-1	-2.52077916912396560e-6	2.52077916912396560e-6	2.52077916912396560e-1	365.6
5	8	50000	1.42810866422004801e-1	1.42811874746671619e-1	-1.00832466681799460e-6	1.00832466681799460e-6	2.52081166704498649e-1	912.6
5	9	10	1.30106240601182144e-1	1.35062697485323763e-1	-4.95645688414161900e-3	4.95645688414161900e-3	2.47822844207080950e-1	0.2
5	9	20	1.32584303734432141e-1	1.35062697485323763e-1	-2.47839375089162206e-3	2.47839375089162206e-3	2.47839375089162206e-1	0.4
5	9	50	1.34060309188850146e-1	1.35062697485323763e-1	-1.00238829647361638e-3	1.00238829647361638e-3	2.50597074118404095e-1	0.9
5	9	100	1.34559976035430101e-1	1.35062697485323763e-1	-5.02721449893661632e-4	5.02721449893661632e-4	2.51360724946830816e-1	1.8
5	9	200	1.34811251269443211e-1	1.35062697485323763e-1	-2.51446215880551938e-4	2.51446215880551938e-4	2.51446215880551938e-1	3.6
5	9	500	1.34962005761278842e-1	1.35062697485323763e-1	-1.00691724044921216e-4	1.00691724044921216e-4	2.51729310112303040e-1	8.7
5	9	1000	1.35012337097795782e-1	1.35062697485323763e-1	-5.03603875279812208e-5	5.03603875279812208e-5	2.51801937639906104e-1	17.8
5	9	2000	1.35037516355833137e-1	1.35062697485323763e-1	-2.51811294906256755e-5	2.51811294906256755e-5	2.51811294906256755e-1	35.3
5	9	5000	1.35052623900265983e-1	1.35062697485323763e-1	-1.00735850577793329e-5	1.00735850577793329e-5	2.51839626444483322e-1	88.9
5	9	10000	1.35057660548269620e-1	1.35062697485323763e-1	-5.03693705414254289e-6	5.03693705414254289e-6	2.51846852707127145e-1	177.0
5	9	20000	1.35060179007360948e-1	1.35062697485323763e-1	-2.51847796281512437e-6	2.51847796281512437e-6	2.51847796281512437e-1	350.7
5	9	50000	1.35061690082805358e-1	1.35062697485323763e-1	-1.00740251840480965e-6	1.00740251840480965e-6	2.51850629601202414e-1	1015.8
6	7	10	1.46258341482721682e-1	1.50366569608102879e-1	-4.10822812538119697e-3	4.10822812538119697e-3	2.46493687522871818e-1	0.2
6	7	20	1.48259526758643206e-1	1.50366569608102879e-1	-2.10704284945967268e-3	2.10704284945967268e-3	2.52845141935160722e-1	0.4
6	7	50	1.49534764652153401e-1	1.50366569608102879e-1	-8.31804955949477787e-4	8.31804955949477787e-4	2.49541486784843336e-1	1.0
6	7	100	1.49948270169980802e-1	1.50366569608102879e-1	-4.18299438122077261e-4	4.18299438122077261e-4	2.50979662873246356e-1	2.0
6	7	200	1.50156548143601798e-1	1.50366569608102879e-1	-2.10021464501081168e-4	2.10021464501081168e-4	2.52025757401297401e-1	4.2
6	7	500	1.50282606132150248e-1	1.50366569608102879e-1	-8.39634759526308727e-5	8.39634759526308727e-5	2.51890427857892618e-1	10.6
6	7	1000	1.50324569762357252e-1	1.50366569608102879e-1	-4.19998457456272067e-5	4.19998457456272067e-5	2.51999074473763240e-1	21.4
6	7	2000	1.50345569319777578e-1	1.50366569608102879e-1	-2.10002883253013195e-5	2.10002883253013195e-5	2.52003459903615834e-1	42.4
6	7	5000	1.50358170805231672e-1	1.50366569608102879e-1	-8.39880287120675639e-6	8.39880287120675639e-6	2.51964086136202692e-1	105.4
6	7	10000	1.50362369857792139e-1	1.50366569608102879e-1	-4.19975031074049099e-6	4.19975031074049099e-6	2.51985018644429459e-1	212.2
6	7	20000	1.50364469792046179e-1	1.50366569608102879e-1	-2.09981605669984361e-6	2.09981605669984361e-6	2.51977926803981234e-1	425.1
6	7	50000	1.50365729660020792e-1	1.50366569608102879e-1	-8.39948082087538239e-7	8.39948082087538239e-7	2.51984424626261472e-1	1044.3
