a	b	M	s_combined	ftc_sum	correction_sum	strip	formula	target	ftc_error	ftc_error_x_aM	alg_error	alg_error_x_aM
6	7	100000	8.471516649860851e-2	3.131853058629443e-2	-5.339663591231480e-2	1.190476190476190e-1	1.503665696081029e-1	3.131895056048384e-2	-4.199742e-7	2.519845e-1	5.339622e-2	3.203773e4
1	8	100	1.457794967155035e-1	1.457794967155035e-1	0.000000000000000e0	0.000000000000000e0	1.483960883474764e-1	1.483960883474764e-1	-2.616592e-3	2.616592e-1	-2.616592e-3	2.616592e-1
1	8	500	1.478747554966765e-1	1.478747554966765e-1	0.000000000000000e0	0.000000000000000e0	1.483960883474764e-1	1.483960883474764e-1	-5.213329e-4	2.606664e-1	-5.213329e-4	2.606664e-1
1	8	1000	1.481360465686042e-1	1.481360465686042e-1	0.000000000000000e0	0.000000000000000e0	1.483960883474764e-1	1.483960883474764e-1	-2.600418e-4	2.600418e-1	-2.600418e-4	2.600418e-1
1	8	5000	1.483440200132589e-1	1.483440200132589e-1	0.000000000000000e0	0.000000000000000e0	1.483960883474764e-1	1.483960883474764e-1	-5.206833e-5	2.603417e-1	-5.206833e-5	2.603417e-1
1	8	10000	1.483700504306989e-1	1.483700504306989e-1	0.000000000000000e0	0.000000000000000e0	1.483960883474764e-1	1.483960883474764e-1	-2.603792e-5	2.603792e-1	-2.603792e-5	2.603792e-1
1	8	50000	1.483908801641431e-1	1.483908801641431e-1	0.000000000000000e0	0.000000000000000e0	1.483960883474764e-1	1.483960883474764e-1	-5.208183e-6	2.604092e-1	-5.208183e-6	2.604092e-1
1	8	100000	1.483934842183108e-1	1.483934842183108e-1	0.000000000000000e0	0.000000000000000e0	1.483960883474764e-1	1.483960883474764e-1	-2.604129e-6	2.604129e-1	-2.604129e-6	2.604129e-1
3	8	100	9.448659535607988e-2	7.540089305203836e-2	-1.908570230404152e-2	8.333333333333333e-2	1.595795760003710e-1	7.624624266703768e-2	-8.453496e-4	2.536049e-1	1.824035e-2	5.472106e0
3	8	500	9.540460245650623e-2	7.607724283208016e-2	-1.932735962442613e-2	8.333333333333333e-2	1.595795760003710e-1	7.624624266703768e-2	-1.689998e-4	2.534998e-1	1.915836e-2	2.873754e1
