N	k	inner_val	predicted	ratio
200	176	-1.239259466555973e-3	1.419557639271774e0	8.729898894360548e-4
200	177	-1.236879531545729e-3	1.419101680242453e0	8.715933105895615e-4
200	178	-1.233614764319167e-3	1.418646749850947e0	8.695714873690575e-4
200	179	-1.225947071000304e-3	1.418192850353710e0	8.644431331708813e-4
200	180	-1.224649392955734e-3	1.417739983776334e0	8.638039464004686e-4
200	181	-1.225239209363342e-3	1.417288151922389e0	8.644954857637424e-4
200	182	-1.231051211730469e-3	1.416837356381928e0	8.688726381933580e-4
200	183	-1.233839563757377e-3	1.416387598539677e0	8.711171751500009e-4
200	184	-1.234953657521141e-3	1.415938879582907e0	8.721800604026931e-4
200	185	-1.236573364965736e-3	1.415491200509020e0	8.736001781721119e-4
200	186	-1.233910322621272e-3	1.415044562132844e0	8.719939679930962e-4
200	187	-1.234654272305719e-3	1.414598965093658e0	8.727945536309467e-4
200	188	-1.231642268420411e-3	1.414154409861961e0	8.709390288862692e-4
200	189	-1.229020521239930e-3	1.413710896745977e0	8.693577478032040e-4
200	190	-1.223143471455476e-3	1.413268425897935e0	8.654714483402818e-4
200	191	-1.218008960433261e-3	1.412826997320105e0	8.621076485256997e-4
200	192	-1.218391674469603e-3	1.412386610870620e0	8.626474260603228e-4
200	193	-1.219136973970547e-3	1.411947266269078e0	8.634437015427553e-4
200	194	-1.225188374782242e-3	1.411508963101943e0	8.679990044765703e-4
200	195	-1.230500033200807e-3	1.411071700827751e0	8.720322521378481e-4
200	196	-1.231499813628985e-3	1.410635478782121e0	8.730106623237681e-4
200	197	-1.229434841643214e-3	1.410200296182586e0	8.718157590601104e-4
200	198	-1.231906109840383e-3	1.409766152133252e0	8.738372019900377e-4
200	199	-1.233864447357744e-3	1.409333045629286e0	8.754952927445243e-4
